V1	V2	V3
Cap_Add_Ele_Oil_wo_CCS	Capacity Additions|Electricity|Oil|w/o CCS	GW/yr
Cap_Add_Ele_SolarCSP	Capacity Additions|Electricity|Solar|CSP	GW/yr
Cap_Add_Ele_SolarPV	Capacity Additions|Electricity|Solar|PV	GW/yr
Cap_Add_Ele_Win	Capacity Additions|Electricity|Wind	GW/yr
Cap_Add_Ele_Win_Off	Capacity Additions|Electricity|Wind|Offshore	GW/yr
Cap_Add_Ele_Win_Ons	Capacity Additions|Electricity|Wind|Onshore	GW/yr
Cap_Ele_Pea_Dem	Capacity|Electricity|Peak Demand	GW
Cap_Gas_Bio	Capacity|Gases|Biomass	GW
Cap_Gas_Bio_w_CCS	Capacity|Gases|Biomass|w/ CCS	GW
Cap_Gas_Bio_wo_CCS	Capacity|Gases|Biomass|w/o CCS	GW
Cap_Gas_Coa	Capacity|Gases|Coal	GW
Cap_Gas_Coa_w_CCS	Capacity|Gases|Coal|w/ CCS	GW
Cap_Gas_Coa_wo_CCS	Capacity|Gases|Coal|w/o CCS	GW
Cap_Hyd_Bio	Capacity|Hydrogen|Biomass	GW
Cap_Hyd_Bio_w_CCS	Capacity|Hydrogen|Biomass|w/ CCS	GW
Cap_Hyd_Bio_wo_CCS	Capacity|Hydrogen|Biomass|w/o CCS	GW
Cap_Hyd_Coa	Capacity|Hydrogen|Coal	GW
Cap_Hyd_Coa_w_CCS	Capacity|Hydrogen|Coal|w/ CCS	GW
Cap_Hyd_Coa_wo_CCS	Capacity|Hydrogen|Coal|w/o CCS	GW
Cap_Hyd_Ele	Capacity|Hydrogen|Electricity	GW
Cap_Hyd_Gas	Capacity|Hydrogen|Gas	GW
Cap_Hyd_Gas_w_CCS	Capacity|Hydrogen|Gas|w/ CCS	GW
Cap_Hyd_Gas_wo_CCS	Capacity|Hydrogen|Gas|w/o CCS	GW
Cap_Liq_Bio	Capacity|Liquids|Biomass	GW
Cap_Liq_Bio_w_CCS	Capacity|Liquids|Biomass|w/ CCS	GW
Cap_Liq_Bio_wo_CCS	Capacity|Liquids|Biomass|w/o CCS	GW
Cap_Liq_Coa	Capacity|Liquids|Coal	GW
Cap_Liq_Coa_w_CCS	Capacity|Liquids|Coal|w/ CCS	GW
Cap_Liq_Coa_wo_CCS	Capacity|Liquids|Coal|w/o CCS	GW
Cap_Liq_Gas	Capacity|Liquids|Gas	GW
Cap_Liq_Gas_w_CCS	Capacity|Liquids|Gas|w/ CCS	GW
Cap_Liq_Gas_wo_CCS	Capacity|Liquids|Gas|w/o CCS	GW
Cap_Liq_Oil	Capacity|Liquids|Oil	GW
Cum_Cap_Ele_Geo	Cumulative Capacity|Electricity|Geothermal	GW
Cum_Cap_Gas_Bio	Cumulative Capacity|Gases|Biomass	GW
Cum_Cap_Gas_Bio_w_CCS	Cumulative Capacity|Gases|Biomass|w/ CCS	GW
Cum_Cap_Gas_Bio_wo_CCS	Cumulative Capacity|Gases|Biomass|w/o CCS	GW
Cum_Cap_Gas_Coa	Cumulative Capacity|Gases|Coal	GW
Cum_Cap_Gas_Coa_w_CCS	Cumulative Capacity|Gases|Coal|w/ CCS	GW
Cum_Cap_Gas_Coa_wo_CCS	Cumulative Capacity|Gases|Coal|w/o CCS	GW
Cum_Cap_Hyd_Coa	Cumulative Capacity|Hydrogen|Coal	GW
Cum_Cap_Hyd_Coa_w_CCS	Cumulative Capacity|Hydrogen|Coal|w/ CCS	GW
Cum_Cap_Hyd_Coa_wo_CCS	Cumulative Capacity|Hydrogen|Coal|w/o CCS	GW
Cum_Cap_Hyd_Gas	Cumulative Capacity|Hydrogen|Gas	GW
Cum_Cap_Hyd_Gas_w_CCS	Cumulative Capacity|Hydrogen|Gas|w/ CCS	GW
Cum_Cap_Hyd_Gas_wo_CCS	Cumulative Capacity|Hydrogen|Gas|w/o CCS	GW
Cum_Cap_Liq_Bio	Cumulative Capacity|Liquids|Biomass	GW
Cum_Cap_Liq_Bio_w_CCS	Cumulative Capacity|Liquids|Biomass|w/ CCS	GW
Cum_Cap_Liq_Bio_wo_CCS	Cumulative Capacity|Liquids|Biomass|w/o CCS	GW
Cum_Cap_Liq_Coa	Cumulative Capacity|Liquids|Coal	GW
Cum_Cap_Liq_Coa_w_CCS	Cumulative Capacity|Liquids|Coal|w/ CCS	GW
Cum_Cap_Liq_Coa_wo_CCS	Cumulative Capacity|Liquids|Coal|w/o CCS	GW
Cum_Cap_Liq_Gas	Cumulative Capacity|Liquids|Gas	GW
Cum_Cap_Liq_Gas_w_CCS	Cumulative Capacity|Liquids|Gas|w/ CCS	GW
Cum_Cap_Liq_Gas_wo_CCS	Cumulative Capacity|Liquids|Gas|w/o CCS	GW
Cum_Cap_Liq_Oil	Cumulative Capacity|Liquids|Oil	GW
Cap_Add_Ele_Bio	Capacity Additions|Electricity|Biomass	GW/yr
Cap_Add_Ele_Coa	Capacity Additions|Electricity|Coal	GW/yr
Cap_Add_Ele_Gas	Capacity Additions|Electricity|Gas	GW/yr
Cap_Add_Ele_Geo	Capacity Additions|Electricity|Geothermal	GW/yr
Cap_Add_Ele_Oil	Capacity Additions|Electricity|Oil	GW/yr
Cap_Add_Ele_Solar	Capacity Additions|Electricity|Solar	GW/yr
Cap_Add_Ele_Sto_Cap	Capacity Additions|Electricity|Storage Capacity	GWh/yr
Cap_Add_Ele_Tra_Gri	Capacity Additions|Electricity|Transmissions Grid	GWkm/yr
Cap_Ele_Sto_Cap	Capacity|Electricity|Storage Capacity	GWh
Cap_Ele_Tra_Gri	Capacity|Electricity|Transmissions Grid	GWkm
Fin_Ene_NonEneUse	Final Energy|Non-Energy Use	EJ/yr
Fin_Ene_NonEneUse_Coa	Final Energy|Non-Energy Use|Coal	EJ/yr
Fin_Ene_NonEneUse_Oil	Final Energy|Non-Energy Use|Oil	EJ/yr
Fin_Ene_NonEneUse_Gas	Final Energy|Non-Energy Use|Gas	EJ/yr
Fin_Ene_NonEneUse_Bio	Final Energy|Non-Energy Use|Biomass	EJ/yr
Fin_Ene_Com_Ele	Final Energy|Commercial|Electricity	EJ/yr
Fin_Ene_Com_Gas	Final Energy|Commercial|Gases	EJ/yr
Fin_Ene_Com_Heat	Final Energy|Commercial|Heat	EJ/yr
Fin_Ene_Com_Hyd	Final Energy|Commercial|Hydrogen	EJ/yr
Fin_Ene_Com_Liq	Final Energy|Commercial|Liquids	EJ/yr
Fin_Ene_Com_Oth	Final Energy|Commercial|Other	EJ/yr
Fin_Ene_Com_Solids	Final Energy|Commercial|Solids	EJ/yr
Fin_Ene_Res_Ele	Final Energy|Residential|Electricity	EJ/yr
Fin_Ene_Res_Gas	Final Energy|Residential|Gases	EJ/yr
Fin_Ene_Res_Heat	Final Energy|Residential|Heat	EJ/yr
Fin_Ene_Res_Hyd	Final Energy|Residential|Hydrogen	EJ/yr
Fin_Ene_Res_Liq	Final Energy|Residential|Liquids	EJ/yr
Fin_Ene_Res_Oth	Final Energy|Residential|Other	EJ/yr
Fin_Ene_Res_Solids	Final Energy|Residential|Solids	EJ/yr
Fin_Ene_Tra_Fre_Ele	Final Energy|Transportation|Freight|Electricity	EJ/yr
Fin_Ene_Tra_Fre_Gas	Final Energy|Transportation|Freight|Gases	EJ/yr
Fin_Ene_Tra_Fre_Hyd	Final Energy|Transportation|Freight|Hydrogen	EJ/yr
Fin_Ene_Tra_Fre_Liq	Final Energy|Transportation|Freight|Liquids	EJ/yr
Fin_Ene_Tra_Fre_Liq_Bio	Final Energy|Transportation|Freight|Liquids|Biomass	EJ/yr
Fin_Ene_Tra_Fre_Liq_Oil	Final Energy|Transportation|Freight|Liquids|Oil	EJ/yr
Fin_Ene_Tra_Fre_Oth	Final Energy|Transportation|Freight|Other	EJ/yr
Fin_Ene_Tra_Pss_Ele	Final Energy|Transportation|Passenger|Electricity	EJ/yr
Fin_Ene_Tra_Pss_Gas	Final Energy|Transportation|Passenger|Gases	EJ/yr
Fin_Ene_Tra_Pss_Hyd	Final Energy|Transportation|Passenger|Hydrogen	EJ/yr
Fin_Ene_Tra_Pss_Liq	Final Energy|Transportation|Passenger|Liquids	EJ/yr
Fin_Ene_Tra_Pss_Liq_Bio	Final Energy|Transportation|Passenger|Liquids|Biomass	EJ/yr
Fin_Ene_Tra_Pss_Liq_Oil	Final Energy|Transportation|Passenger|Liquids|Oil	EJ/yr
Fin_Ene_Tra_Pss_Oth	Final Energy|Transportation|Passenger|Other	EJ/yr
Prc_Sec_Ene_Liq	Price|Secondary Energy|Liquids	US$2010/GJ or local currency/GJ
Res_Cap_Ele_Sto	Reservoir Capacity|Electricity|Storage	GWh
Prm_Ene_Bio_Ele	Primary Energy|Biomass|Electricity	EJ/yr
Prm_Ene_Bio_Ele_w_CCS	Primary Energy|Biomass|Electricity|w/ CCS	EJ/yr
Prm_Ene_Bio_Ele_wo_CCS	Primary Energy|Biomass|Electricity|w/o CCS	EJ/yr
Prm_Ene_Coa_Ele_w_CCS	Primary Energy|Coal|Electricity|w/ CCS	EJ/yr
Prm_Ene_Coa_Ele_wo_CCS	Primary Energy|Coal|Electricity|w/o CCS	EJ/yr
Prm_Ene_Gas_Ele_w_CCS	Primary Energy|Gas|Electricity|w/ CCS	EJ/yr
Prm_Ene_Gas_Ele_wo_CCS	Primary Energy|Gas|Electricity|w/o CCS	EJ/yr
Prm_Ene_Oil_Ele	Primary Energy|Oil|Electricity	EJ/yr
Prm_Ene_Oil_Ele_w_CCS	Primary Energy|Oil|Electricity|w/ CCS	EJ/yr
Prm_Ene_Oil_Ele_wo_CCS	Primary Energy|Oil|Electricity|w/o CCS	EJ/yr
Sec_Ene_Ele_Fos	Secondary Energy|Electricity|Fossil	EJ/yr
Sec_Ene_Ele_Fos_w_CCS	Secondary Energy|Electricity|Fossil|w/ CCS	EJ/yr
Sec_Ene_Ele_Fos_wo_CCS	Secondary Energy|Electricity|Fossil|w/o CCS	EJ/yr
Sec_Ene_Ele_Cur	Secondary Energy|Electricity|Curtailment	EJ/yr
Sec_Ene_Ele_Sto_Los	Secondary Energy|Electricity|Storage Losses	EJ/yr
Sec_Ene_Ele_Tra_Los	Secondary Energy|Electricity|Transmission Losses	EJ/yr
Ene_Ser_Com_Flo_Spa	Energy Service|Commercial|Floor Space	bn m2/yr
Ene_Ser_Res_Flo_Spa	Energy Service|Residential|Floor Space	bn m2/yr
Ene_Ser_Tra_Fre_Avi	Energy Service|Transportation|Freight|Aviation	bn tkm/yr
Ene_Ser_Tra_Fre_Nav	Energy Service|Transportation|Freight|Navigation	bn tkm/yr
Ene_Ser_Tra_Fre_Oth	Energy Service|Transportation|Freight|Other	bn tkm/yr
Ene_Ser_Tra_Fre_Rai	Energy Service|Transportation|Freight|Railways	bn tkm/yr
Ene_Ser_Tra_Fre_Roa	Energy Service|Transportation|Freight|Road	bn tkm/yr
Ene_Ser_Tra_Pss_Avi	Energy Service|Transportation|Passenger|Aviation	bn pkm/yr
Ene_Ser_Tra_Pss_Nav	Energy Service|Transportation|Passenger|Navigation	bn pkm/yr
Ene_Ser_Tra_Pss_Oth	Energy Service|Transportation|Passenger|Other	bn pkm/yr
Ene_Ser_Tra_Pss_Rai	Energy Service|Transportation|Passenger|Railways	bn pkm/yr
Ene_Ser_Tra_Pss_Roa	Energy Service|Transportation|Passenger|Road	bn pkm/yr
Ene_Ser_Tra_Fre_Int_Shi	Energy Service|Transportation|Freight|International Shipping	bn tkm/yr
Ene_Ser_Tra_Pss_Bic_and_Wal	Energy Service|Transportation|Passenger|Bicycling and Walking	bn pkm/yr
Ene_Ser_Tra_Pss_Roa_2W_and_3W	Energy Service|Transportation|Passenger|Road|2W and 3W	bn pkm/yr
Ene_Ser_Tra_Pss_Roa_LDV	Energy Service|Transportation|Passenger|Road|LDV	bn pkm/yr
Ene_Ser_Tra_Pss_Roa_Bus	Energy Service|Transportation|Passenger|Road|Bus	bn pkm/yr
Prc_Fin_Ene_Res_Ele	Price|Final Energy|Residential|Electricity	US$2010/GJ or local currency/GJ
Prc_Fin_Ene_Res_Gas_Nat_Gas	Price|Final Energy|Residential|Gases|Natural Gas	US$2010/GJ or local currency/GJ
Prc_Fin_Ene_Res_Liq_Bio	Price|Final Energy|Residential|Liquids|Biomass	US$2010/GJ or local currency/GJ
Prc_Fin_Ene_Res_Liq_Oil	Price|Final Energy|Residential|Liquids|Oil	US$2010/GJ or local currency/GJ
Prc_Fin_Ene_Res_SolidsBio	Price|Final Energy|Residential|Solids|Biomass	US$2010/GJ or local currency/GJ
Prc_Fin_Ene_Res_SolidsCoa	Price|Final Energy|Residential|Solids|Coal	US$2010/GJ or local currency/GJ
Foo_Dem	Food Demand	kcal/cap/day
Foo_Dem_Cro	Food Demand|Crops	kcal/cap/day
Foo_Dem_Liv	Food Demand|Livestock	kcal/cap/day
Tar_Ave	Tariffs|Average	%
Deb_Ser	Debt Service	%
Exp_Dev_Cou_Sha	Export|Developing Country Share	%
Rev_gov	Revenue|government	billion US$2010/yr OR local currency/yr
Sub_Ene_Fos	Subsidies|Energy|Fossil	billion US$2010/yr OR local currency/yr
Sub_Ene	Subsidies|Energy	billion US$2010/yr OR local currency/yr
Sub_Foo	Subsidies|Food	billion US$2010/yr OR local currency/yr
Tar_Ave_Imp	Tariffs|Average|Imports	%
Rev_gov_Tax	Revenue|government|Tax	billion US$2010/yr OR local currency/yr
Exp_Med_Sys_Inc	Expenditure|Medical System|Incremental	billion US$2010/yr OR local currency/yr
Inv_Med_Sys	Investment|Medical System	billion US$2010/yr OR local currency/yr
Exp_hou_ind	Expenditure|household|industry	billion US$2010/yr OR local currency/yr
Exp_hou_Ene	Expenditure|household|Energy	billion US$2010/yr OR local currency/yr
Exp_hou_Foo	Expenditure|household|Food	billion US$2010/yr OR local currency/yr
Exp_hou_Ser	Expenditure|household|Services	billion US$2010/yr OR local currency/yr
Exp_hou_Ser_hea	Expenditure|household|Services|health	billion US$2010/yr OR local currency/yr
Exp_Ene_Fos	Expenditure|Energy|Fossil	billion US$2010/yr OR local currency/yr
Mat_Cns_Dom	Material Consumption|Domestic	Mt/year
Pro_Cem	Production|Cement	Mt/year
Pro_Che	Production|Chemicals	Mt/year
Pro_Non_met	Production|Non-ferrous metals	Mt/year
Pro_Pul_and_Pap	Production|Pulp and Paper	Mt/year
Pro_Ste	Production|Steel	Mt/year
Exp_RnD	Expenditure|RnD	billion US$2010/yr OR local currency/yr
Inv_Inf	Investment|Infrastructure	billion US$2010/yr OR local currency/yr
Pop_Mob_Net_Acc	Population|Mobile Network Access	Million
Pop_Roa_Acc	Population|Road Access	Million
Inv	Investment	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ext_Coa	Investment|Energy Supply|Extraction|Coal	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ext_Gas	Investment|Energy Supply|Extraction|Gas	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ext_Oil	Investment|Energy Supply|Extraction|Oil	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Coa	Investment|Energy Supply|Electricity|Coal	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Coa_w_CCS	Investment|Energy Supply|Electricity|Coal|w/ CCS	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Coa_wo_CCS	Investment|Energy Supply|Electricity|Coal|w/o CCS	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Gas	Investment|Energy Supply|Electricity|Gas	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Gas_w_CCS	Investment|Energy Supply|Electricity|Gas|w/ CCS	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Gas_wo_CCS	Investment|Energy Supply|Electricity|Gas|w/o CCS	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Oil	Investment|Energy Supply|Electricity|Oil	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Oil_w_CCS	Investment|Energy Supply|Electricity|Oil|w/ CCS	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Oil_wo_CCS	Investment|Energy Supply|Electricity|Oil|w/o CCS	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Bio	Investment|Energy Supply|Electricity|Biomass	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Bio_w_CCS	Investment|Energy Supply|Electricity|Biomass|w/ CCS	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Bio_wo_CCS	Investment|Energy Supply|Electricity|Biomass|w/o CCS	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Nuc	Investment|Energy Supply|Electricity|Nuclear	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_NonBioRen	Investment|Energy Supply|Electricity|Non-Biomass Renewables	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Hyd	Investment|Energy Supply|Electricity|Hydro	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Solar	Investment|Energy Supply|Electricity|Solar	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Win	Investment|Energy Supply|Electricity|Wind	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Geo	Investment|Energy Supply|Electricity|Geothermal	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Ele_Oce	Investment|Energy Supply|Electricity|Ocean	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Liq_Oil	Investment|Energy Supply|Liquids|Oil	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Liq_Coa_and_Gas	Investment|Energy Supply|Liquids|Coal and Gas	billion US$2010/yr OR local currency/yr
Inv_Ene_Sup_Liq_Bio	Investment|Energy Supply|Liquids|Biomass	billion US$2010/yr OR local currency/yr
Inv_Ene_Eff	Investment|Energy Efficiency	billion US$2010/yr OR local currency/yr
Inv_Ene_Dem_Tra_Pss_Roa_LDV_ICE	Investment|Energy Demand|Transportation|Passenger|Road|LDV|ICE	billion US$2010/yr OR local currency/yr
Inv_Ene_Dem_Tra_Pss_Roa_LDV_EV	Investment|Energy Demand|Transportation|Passenger|Road|LDV|EV	billion US$2010/yr OR local currency/yr
Inv_Ene_Dem_Tra_Pss_Roa_LDV_FCV	Investment|Energy Demand|Transportation|Passenger|Road|LDV|FCV	billion US$2010/yr OR local currency/yr
Inv_Ene_Dem_Tra_Fre_Roa_HDT_ICE	Investment|Energy Demand|Transportation|Freight|Road|HDT|ICE	billion US$2010/yr OR local currency/yr
Inv_Ene_Dem_Tra_Fre_Roa_HDT_EV	Investment|Energy Demand|Transportation|Freight|Road|HDT|EV	billion US$2010/yr OR local currency/yr
Inv_Ene_Dem_Tra_Fre_Roa_HDT_FCV	Investment|Energy Demand|Transportation|Freight|Road|HDT|FCV	billion US$2010/yr OR local currency/yr
Inv_Inf_Tra	Investment|Infrastructure|Transport	billion US$2010/yr OR local currency/yr
Inv_Inf_Res_and_Com_Low_Bui	Investment|Infrastructure|Residential and Commercial|Low-Efficiency Buildings	billion US$2010/yr OR local currency/yr
Inv_Inf_Res_and_Com_Med_Bui	Investment|Infrastructure|Residential and Commercial|Medium-Efficiency Buildings	billion US$2010/yr OR local currency/yr
Inv_Inf_Res_and_Com_Hig_Bui	Investment|Infrastructure|Residential and Commercial|High-Efficiency Buildings	billion US$2010/yr OR local currency/yr
Inv_Inf_Res_and_Com_Bui_Ret	Investment|Infrastructure|Residential and Commercial|Building Retrofits	billion US$2010/yr OR local currency/yr
Inv_Inf_ind_Gre	Investment|Infrastructure|industry|Green	billion US$2010/yr OR local currency/yr
Inv_Inf_ind_Non	Investment|Infrastructure|industry|Non-Green	billion US$2010/yr OR local currency/yr
Inv_Inf_Wat_Coo	Investment|Infrastructure|Water|Cooling	billion US$2010/yr OR local currency/yr
Inv_Inf_Wat_Irr	Investment|Infrastructure|Water|Irrigation	billion US$2010/yr OR local currency/yr
Inv_Inf_Wat_Oth	Investment|Infrastructure|Water|Other	billion US$2010/yr OR local currency/yr
Pol_Cos_Def_for_CAV	Policy Cost|Default for CAV	billion US$2010/yr OR local currency/yr
Dir_Ris_Ass_Los	Direct Risk|Asset Loss	billion US$2010/yr OR local currency/yr
Fis_Gap	Fiscal Gap	billion US$2010/yr OR local currency/yr
Fis_Res	Fiscal Resilience	billion US$2010/yr OR local currency/yr
Ind_Ris_GDP_Gro	Indirect Risk|GDP Growth	%
Ind_Ris_Pub_Deb	Indirect Risk|Public Debt	billion US$2010/yr OR local currency/yr
Cap_Cos_Ele_Bio_w_CCS	Capital Cost|Electricity|Biomass|w/ CCS	US$2010/kW OR local currency/kW
Cap_Cos_Ele_Bio_wo_CCS	Capital Cost|Electricity|Biomass|w/o CCS	US$2010/kW OR local currency/kW
Cap_Cos_Ele_Coa_w_CCS	Capital Cost|Electricity|Coal|w/ CCS	US$2010/kW OR local currency/kW
Cap_Cos_Ele_Coa_wo_CCS	Capital Cost|Electricity|Coal|w/o CCS	US$2010/kW OR local currency/kW
Cap_Cos_Ele_Gas_w_CCS	Capital Cost|Electricity|Gas|w/ CCS	US$2010/kW OR local currency/kW
Cap_Cos_Ele_Gas_wo_CCS	Capital Cost|Electricity|Gas|w/o CCS	US$2010/kW OR local currency/kW
Cap_Cos_Ele_Geo	Capital Cost|Electricity|Geothermal	US$2010/kW OR local currency/kW
Cap_Cos_Ele_Hyd	Capital Cost|Electricity|Hydro	US$2010/kW OR local currency/kW
Cap_Cos_Ele_Nuc	Capital Cost|Electricity|Nuclear	US$2010/kW OR local currency/kW
Cap_Cos_Ele_SolarCSP	Capital Cost|Electricity|Solar|CSP	US$2010/kW OR local currency/kW
Cap_Cos_Ele_SolarPV	Capital Cost|Electricity|Solar|PV	US$2010/kW OR local currency/kW
Cap_Cos_Ele_Win_Off	Capital Cost|Electricity|Wind|Offshore	US$2010/kW OR local currency/kW
Cap_Cos_Ele_Win_Ons	Capital Cost|Electricity|Wind|Onshore	US$2010/kW OR local currency/kW
Cap_Cos_Gas_Bio_w_CCS	Capital Cost|Gases|Biomass|w/ CCS	US$2010/kW OR local currency/kW
Cap_Cos_Gas_Bio_wo_CCS	Capital Cost|Gases|Biomass|w/o CCS	US$2010/kW OR local currency/kW
Cap_Cos_Gas_Coa_w_CCS	Capital Cost|Gases|Coal|w/ CCS	US$2010/kW OR local currency/kW
Cap_Cos_Gas_Coa_wo_CCS	Capital Cost|Gases|Coal|w/o CCS	US$2010/kW OR local currency/kW
Cap_Cos_Hyd_Bio_w_CCS	Capital Cost|Hydrogen|Biomass|w/ CCS	US$2010/kW OR local currency/kW
Cap_Cos_Hyd_Bio_wo_CCS	Capital Cost|Hydrogen|Biomass|w/o CCS	US$2010/kW OR local currency/kW
Cap_Cos_Hyd_Coa_w_CCS	Capital Cost|Hydrogen|Coal|w/ CCS	US$2010/kW OR local currency/kW
Cap_Cos_Hyd_Coa_wo_CCS	Capital Cost|Hydrogen|Coal|w/o CCS	US$2010/kW OR local currency/kW
Cap_Cos_Hyd_Ele	Capital Cost|Hydrogen|Electricity	US$2010/kW OR local currency/kW
Cap_Cos_Hyd_Gas_w_CCS	Capital Cost|Hydrogen|Gas|w/ CCS	US$2010/kW OR local currency/kW
Cap_Cos_Hyd_Gas_wo_CCS	Capital Cost|Hydrogen|Gas|w/o CCS	US$2010/kW OR local currency/kW
Cap_Cos_Liq_Bio_w_CCS	Capital Cost|Liquids|Biomass|w/ CCS	US$2010/kW OR local currency/kW
Cap_Cos_Liq_Bio_wo_CCS	Capital Cost|Liquids|Biomass|w/o CCS	US$2010/kW OR local currency/kW
Cap_Cos_Liq_Coa_w_CCS	Capital Cost|Liquids|Coal|w/ CCS	US$2010/kW OR local currency/kW
Cap_Cos_Liq_Coa_wo_CCS	Capital Cost|Liquids|Coal|w/o CCS	US$2010/kW OR local currency/kW
Cap_Cos_Liq_Gas_w_CCS	Capital Cost|Liquids|Gas|w/ CCS	US$2010/kW OR local currency/kW
Cap_Cos_Liq_Gas_wo_CCS	Capital Cost|Liquids|Gas|w/o CCS	US$2010/kW OR local currency/kW
Cap_Cos_Liq_Oil	Capital Cost|Liquids|Oil	US$2010/kW OR local currency/kW
Eff_Ele_Bio_w_CCS	Efficiency|Electricity|Biomass|w/ CCS	%
Eff_Ele_Bio_wo_CCS	Efficiency|Electricity|Biomass|w/o CCS	%
Eff_Ele_Coa_w_CCS	Efficiency|Electricity|Coal|w/ CCS	%
Eff_Ele_Coa_wo_CCS	Efficiency|Electricity|Coal|w/o CCS	%
Eff_Ele_Gas_w_CCS	Efficiency|Electricity|Gas|w/ CCS	%
Eff_Ele_Gas_wo_CCS	Efficiency|Electricity|Gas|w/o CCS	%
Eff_Gas_Bio_w_CCS	Efficiency|Gases|Biomass|w/ CCS	%
Eff_Gas_Bio_wo_CCS	Efficiency|Gases|Biomass|w/o CCS	%
Eff_Gas_Coa_w_CCS	Efficiency|Gases|Coal|w/ CCS	%
Eff_Gas_Coa_wo_CCS	Efficiency|Gases|Coal|w/o CCS	%
Eff_Hyd_Bio_w_CCS	Efficiency|Hydrogen|Biomass|w/ CCS	%
Eff_Hyd_Bio_wo_CCS	Efficiency|Hydrogen|Biomass|w/o CCS	%
Eff_Hyd_Coa_w_CCS	Efficiency|Hydrogen|Coal|w/ CCS	%
Eff_Hyd_Coa_wo_CCS	Efficiency|Hydrogen|Coal|w/o CCS	%
Eff_Hyd_Ele	Efficiency|Hydrogen|Electricity	%
Eff_Hyd_Gas_w_CCS	Efficiency|Hydrogen|Gas|w/ CCS	%
Eff_Hyd_Gas_wo_CCS	Efficiency|Hydrogen|Gas|w/o CCS	%
Eff_Liq_Bio_w_CCS	Efficiency|Liquids|Biomass|w/ CCS	%
Eff_Liq_Bio_wo_CCS	Efficiency|Liquids|Biomass|w/o CCS	%
Eff_Liq_Coa_w_CCS	Efficiency|Liquids|Coal|w/ CCS	%
Eff_Liq_Coa_wo_CCS	Efficiency|Liquids|Coal|w/o CCS	%
Eff_Liq_Gas_w_CCS	Efficiency|Liquids|Gas|w/ CCS	%
Eff_Liq_Gas_wo_CCS	Efficiency|Liquids|Gas|w/o CCS	%
Eff_Liq_Oil	Efficiency|Liquids|Oil	%
Lif_Ele_Bio_w_CCS	Lifetime|Electricity|Biomass|w/ CCS	years
Lif_Ele_Bio_wo_CCS	Lifetime|Electricity|Biomass|w/o CCS	years
Lif_Ele_Coa_w_CCS	Lifetime|Electricity|Coal|w/ CCS	years
Lif_Ele_Coa_wo_CCS	Lifetime|Electricity|Coal|w/o CCS	years
Lif_Ele_Gas_w_CCS	Lifetime|Electricity|Gas|w/ CCS	years
Lif_Ele_Gas_wo_CCS	Lifetime|Electricity|Gas|w/o CCS	years
Lif_Ele_Hyd	Lifetime|Electricity|Hydro	years
Lif_Ele_Nuc	Lifetime|Electricity|Nuclear	years
Lif_Ele_Geo	Lifetime|Electricity|Geothermal	years
Lif_Ele_SolarCSP	Lifetime|Electricity|Solar|CSP	years
Lif_Ele_SolarPV	Lifetime|Electricity|Solar|PV	years
Lif_Ele_Win	Lifetime|Electricity|Wind	years
Lif_Ele_Win_Off	Lifetime|Electricity|Wind|Offshore	years
Lif_Ele_Win_Ons	Lifetime|Electricity|Wind|Onshore	years
Lif_Gas_Bio_w_CCS	Lifetime|Gases|Biomass|w/ CCS	years
Lif_Gas_Bio_wo_CCS	Lifetime|Gases|Biomass|w/o CCS	years
Lif_Gas_Coa_w_CCS	Lifetime|Gases|Coal|w/ CCS	years
Lif_Gas_Coa_wo_CCS	Lifetime|Gases|Coal|w/o CCS	years
Lif_Hyd_Bio_w_CCS	Lifetime|Hydrogen|Biomass|w/ CCS	years
Lif_Hyd_Bio_wo_CCS	Lifetime|Hydrogen|Biomass|w/o CCS	years
